ID,Group,Feature_1,Feature_2,Feature_3
ID177,B,2419.3216689609353,431.0864695625491,4849.6260611809985
ID837,C,2610.9906460034986,402.4325829291363,-2196.229347369555
ID501,A,2459.8409275209838,386.966053097814,5426.717296701458
ID789,A,2382.4276533642674,392.8695537071888,5190.615535836267
ID196,C,2841.2373342854676,386.4026056588006,-2474.9593240887625
ID363,B,2259.196257517608,413.76968334989704,4503.144384858158
ID922,A,2587.5475487365443,358.0246786925949,5970.8036026696
ID564,B,2592.799786122852,411.48409866197005,5166.464254031522
ID147,A,2512.0747024852435,400.03960246502254,5535.441292464909
ID970,A,2538.757324065916,392.87593454813987,5651.510482329068
ID124,A,2568.043592502816,400.7508557202914,5694.198996528618
ID254,C,2341.320653252456,380.57705469784,-1940.622870627157
ID553,B,2627.582347562798,405.5216574319246,5268.463976986697
ID778,B,2456.206283182678,400.6142403787562,4915.596783183594
ID478,C,2421.347822687725,390.3526241539897,-2022.1614497051928
ID396,B,2662.386838529445,395.5045665705715,5312.014537947307
ID218,A,2519.2318501060895,421.4565227335332,5469.545425827256
ID218,B,2425.8117739948434,386.9186411595424,4859.748053337884
ID290,A,2341.7169539811284,378.1950613070077,5133.04855851986
ID300,C,2246.771075209423,393.6818996058218,-1828.6353030681264
ID278,A,2426.4250986495426,427.2482343716608,5162.213121367652
ID661,C,2589.718904944255,408.4702912227326,-2181.7452719472394
ID944,A,2603.3783463377636,408.3733395701766,5767.246530493324
ID333,A,2574.291480260189,383.5935220947814,5822.480993983555
ID921,B,2640.769755923788,414.7738269886214,5283.274677450176
ID576,C,2474.4870377605016,388.6252746571045,-2081.3414986172834
ID797,B,2438.2497588878578,400.1149813549546,4859.1694479860835
ID742,B,2805.2833104500505,441.0472873401673,5593.668782441437
ID528,B,2389.689389069082,398.8967418560097,4778.691559012381
ID377,C,2370.111547264817,384.9867234597551,-1994.6335474066966
ID456,A,2252.0775323046705,410.3271375562347,4680.338155908944
ID102,A,2365.163063795708,414.66201602031833,5014.553530489969
ID770,A,2240.9696094911333,385.62620470384167,4789.312810180481
ID653,B,2359.224262260376,400.04260478773983,4726.839862656894
ID809,C,2361.3320302605052,384.4002728543004,-1983.6725854537515
ID157,C,2295.629088446423,379.4999927004841,-1923.1283418045384
ID624,A,2365.0311480653418,409.18957906733476,5057.325443489507
ID735,C,2649.566920985015,419.6280907253603,-2229.4261167875934
ID598,A,2334.732538317886,413.7605676489686,4947.989680826342
ID269,C,2634.9807660624547,400.7517226910617,-2221.0003053432247
ID579,B,2598.061698178951,386.3015495491806,5192.985955382803
ID988,B,2554.94690945562,385.55575274786156,5104.827839868818
ID561,B,2538.7320412560707,421.5734373407057,5100.301234722245
ID839,B,2552.1358870525814,409.0665205438753,5117.534856144624
ID219,B,2737.7989515102695,409.2788777602766,5464.71851491785
ID198,C,2822.329715515856,410.15965011402534,-2390.649151947257
ID956,B,2552.873801561336,406.8829982601086,5122.68385188379
ID144,B,2464.386602976939,406.28580125282207,4933.084463300856
ID697,B,2393.1400211148953,398.9732251315642,4791.271207489289
ID114,B,2748.5602724440446,400.7625984924471,5487.535807623028
ID452,A,2681.29669990901,392.86365917660476,6084.3352209573995
ID386,C,2573.9538561478794,396.2161874787625,-2179.080883376311
ID951,C,2472.1566079600702,412.8746517627183,-2064.4668218571796
ID786,B,2636.1341822096,403.31307240305966,5291.533485393218
ID958,B,2676.243337531132,386.94005961772564,5358.009257094901
ID394,B,2245.968576791531,397.8617486197748,4498.279885156238
ID998,A,2456.1556103582952,417.88701870381124,5300.4289070762925
ID917,C,2577.0172853514405,409.6557224834065,-2169.138237522768
ID489,C,2677.0760945294937,385.40460295827484,-2289.7750568455726
ID407,C,2690.9337489083105,408.19772033863,-2284.5395354985912
ID986,A,2639.804799687877,419.5304499700907,5827.423912318404
ID565,B,2396.818097697694,414.28672693546116,4789.365594858799
ID996,B,2308.888534104128,387.5249894243223,4633.279727595049
ID522,B,2565.686092580517,390.2785048713352,5132.947412149968
ID328,C,2415.47518747316,398.84805187687454,-2001.8253641829665
ID821,B,2708.4617993221877,416.9769069627948,5417.855685952049
ID951,B,2446.741130076129,403.3747728007942,4889.535025732484
ID993,C,2235.088387740882,385.51426453058434,-1823.7027128574703
ID162,A,2330.715092057531,406.3509156839079,4959.681830447187
ID558,C,2439.256076075557,409.62327902036054,-2062.5561361417967
